time,close,signal,confidence,equity
2024-09-21 10:00:00+00:00,62979.05,0,0.0,1.0
2024-09-21 11:00:00+00:00,63089.77,0,0.0,1.0
2024-09-21 12:00:00+00:00,63151.98,0,0.0,1.0
2024-09-21 13:00:00+00:00,63188.0,0,0.0,1.0
2024-09-21 14:00:00+00:00,63300.0,0,0.0,1.0
2024-09-21 15:00:00+00:00,63167.98,0,0.0,1.0
2024-09-21 16:00:00+00:00,63215.13,0,0.0,1.0
2024-09-21 17:00:00+00:00,63279.99,0,0.0,1.0
2024-09-21 18:00:00+00:00,63267.99,0,0.0,1.0
2024-09-21 19:00:00+00:00,63203.59,0,0.0,1.0
2024-09-21 20:00:00+00:00,63139.99,0,0.0,1.0
2024-09-21 21:00:00+00:00,63088.0,0,0.0,1.0
2024-09-21 22:00:00+00:00,63230.32,0,0.0,1.0
2024-09-21 23:00:00+00:00,63348.96,0,0.0,1.0
2024-09-22 00:00:00+00:00,63230.93,0,0.0,1.0
2024-09-22 01:00:00+00:00,63046.0,0,0.0,1.0
2024-09-22 02:00:00+00:00,62957.31,0,0.0,1.0
2024-09-22 03:00:00+00:00,63106.0,0,0.0,1.0
2024-09-22 04:00:00+00:00,63080.01,0,0.0,1.0
2024-09-22 05:00:00+00:00,62938.51,0,0.0,1.0
2024-09-22 06:00:00+00:00,62876.24,0,0.0,1.0
2024-09-22 07:00:00+00:00,62936.0,0,0.0,1.0
2024-09-22 08:00:00+00:00,63025.35,0,0.0,1.0
2024-09-22 09:00:00+00:00,62702.94,0,0.0,1.0
2024-09-22 10:00:00+00:00,62655.99,0,0.0,1.0
2024-09-22 11:00:00+00:00,62784.0,0,0.0,1.0
2024-09-22 12:00:00+00:00,62781.99,0,0.0,1.0
2024-09-22 13:00:00+00:00,62589.99,0,0.0,1.0
2024-09-22 14:00:00+00:00,62668.0,0,0.0,1.0
2024-09-22 15:00:00+00:00,62652.12,0,0.0,1.0
2024-09-22 16:00:00+00:00,62776.03,0,0.0,1.0
2024-09-22 17:00:00+00:00,63062.66,0,0.0,1.0
2024-09-22 18:00:00+00:00,62955.99,0,0.0,1.0
2024-09-22 19:00:00+00:00,63160.0,0,0.0,1.0
2024-09-22 20:00:00+00:00,63208.0,0,0.0,1.0
2024-09-22 21:00:00+00:00,62779.99,0,0.0,1.0
2024-09-22 22:00:00+00:00,63881.51,0,0.0,1.0
2024-09-22 23:00:00+00:00,63578.76,0,0.0,1.0
2024-09-23 00:00:00+00:00,63577.88,0,0.0,1.0
2024-09-23 01:00:00+00:00,63826.8,0,0.0,1.0
2024-09-23 02:00:00+00:00,63940.47,0,0.0,1.0
2024-09-23 03:00:00+00:00,64354.0,0,0.0,1.0
2024-09-23 04:00:00+00:00,63912.3,0,0.0,1.0
2024-09-23 05:00:00+00:00,63754.0,0,0.0,1.0
2024-09-23 06:00:00+00:00,63671.42,0,0.0,1.0
2024-09-23 07:00:00+00:00,63548.82,0,0.0,1.0
2024-09-23 08:00:00+00:00,63492.01,0,0.0,1.0
2024-09-23 09:00:00+00:00,63635.69,0,0.0,1.0
2024-09-23 10:00:00+00:00,63496.96,0,0.0,1.0
2024-09-23 11:00:00+00:00,63435.04,0,0.0,1.0
2024-09-23 12:00:00+00:00,63315.8,0,0.0,1.0
2024-09-23 13:00:00+00:00,63185.21,0,0.0,1.0
2024-09-23 14:00:00+00:00,63394.5,0,0.0,1.0
2024-09-23 15:00:00+00:00,63618.0,0,0.0,1.0
2024-09-23 16:00:00+00:00,63227.55,0,0.0,1.0
2024-09-23 17:00:00+00:00,63318.01,0,0.0,1.0
2024-09-23 18:00:00+00:00,63430.19,0,0.0,1.0
2024-09-23 19:00:00+00:00,63298.56,0,0.0,1.0
2024-09-23 20:00:00+00:00,63308.0,0,0.0,1.0
2024-09-23 21:00:00+00:00,63380.0,0,0.0,1.0
2024-09-23 22:00:00+00:00,63219.0,0,0.0,1.0
2024-09-23 23:00:00+00:00,63339.99,0,0.0,1.0
2024-09-24 00:00:00+00:00,62906.0,0,0.0,1.0
2024-09-24 01:00:00+00:00,62942.01,0,0.0,1.0
2024-09-24 02:00:00+00:00,63123.99,0,0.0,1.0
2024-09-24 03:00:00+00:00,63124.0,0,0.0,1.0
2024-09-24 04:00:00+00:00,63088.0,0,0.0,1.0
2024-09-24 05:00:00+00:00,63215.99,0,0.0,1.0
2024-09-24 06:00:00+00:00,63305.43,0,0.0,1.0
2024-09-24 07:00:00+00:00,63559.92,0,0.0,1.0
2024-09-24 08:00:00+00:00,63851.05,0,0.0,1.0
2024-09-24 09:00:00+00:00,63524.5,0,0.0,1.0
2024-09-24 10:00:00+00:00,63526.0,0,0.0,1.0
2024-09-24 11:00:00+00:00,63478.34,0,0.0,1.0
2024-09-24 12:00:00+00:00,63446.01,0,0.0,1.0
2024-09-24 13:00:00+00:00,63519.85,0,0.0,1.0
2024-09-24 14:00:00+00:00,63194.89,0,0.0,1.0
2024-09-24 15:00:00+00:00,63159.99,0,0.0,1.0
2024-09-24 16:00:00+00:00,63262.0,0,0.0,1.0
2024-09-24 17:00:00+00:00,63775.86,0,0.0,1.0
2024-09-24 18:00:00+00:00,63727.58,0,0.0,1.0
2024-09-24 19:00:00+00:00,64292.34,0,0.0,1.0
2024-09-24 20:00:00+00:00,64215.01,0,0.0,1.0
2024-09-24 21:00:00+00:00,64030.0,0,0.0,1.0
